participant_id	Gender	Age
sub-S1	M	9.4400000000
sub-S2	F	6.1200000000
sub-S3	M	6.7400000000
sub-S4	M	5.9800000000
sub-S5	M	6.2100000000
sub-S6	F	6.9000000000
sub-S7	F	6.4800000000
sub-S8	F	9.0400000000
sub-S9	F	6.0800000000
sub-S10	M	7.1700000000
sub-S11	F	9.8600000000
sub-S12	M	8.9800000000
sub-S13	M	6.1800000000
sub-S14	M	9.6700000000
sub-S15	F	9.7300000000
sub-S16	M	6.7700000000
sub-S17	F	9.2700000000
sub-S18	M	9.6300000000
sub-S19	M	6.4400000000
sub-S20	M	9.1700000000
sub-S21	F	9.3400000000
sub-S22	M	6.1200000000
sub-S23	F	9.1100000000
sub-S24	M	10.1600000000
sub-S25	M	6.2100000000
sub-S26	F	10.4200000000
sub-S27	F	6.1200000000
sub-S28	F	9.1700000000
sub-S29	F	9.0100000000
sub-S30	M	6.6100000000
sub-S31	F	9.3700000000
sub-S32	F	6.2800000000
sub-S33	M	6.8700000000
sub-S34	M	9.1700000000
sub-S35	M	9.7600000000
sub-S36	F	6.1800000000
sub-S37	M	9.0700000000
sub-S38	F	9.0700000000
sub-S39	F	9.6000000000
sub-S40	F	6.5800000000
sub-S41	M	9.6300000000
sub-S42	M	6.1200000000
sub-S43	M	9.4700000000
sub-S44	M	9.2400000000
sub-S45	M	6.5400000000
sub-S46	F	9.8600000000
sub-S47	M	6.1200000000
sub-S48	M	7.2700000000
